tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
11,1,0,0,1,0,"[0, 0, 0]","[8.903038022902729, 13.197269897453037, 77.89969207964424]","[0, 0, 0]",-2.65714286,1.0,0.08903038022902729,1,-1
25,1,0,0,1,0,"[0, 0, 0]","[35.07596530049743, 24.112174643367318, 40.81186005613525]","[0, 0, 0]",-2.65714286,1.0,0.3507596530049743,1,-1
57,3,38,0,1,0,"[100, 0, 0]","[30.88279661396518, 37.89055186025003, 31.226651525784792]","[100.0, 0.0, 0.0]",0.77142857,1.0,0.3088279661396518,1,0
63,3,86,129.25,4,2,"[0, 0, 100]","[22.03591005785964, 28.850623910300115, 49.113466031840254]","[11.01795502892982, 14.425311955150057, 74.55673301592013]",-0.77142857,1.0,0.2203591005785964,1,10
72,1,0,0,1,0,"[0, 0, 0]","[32.05811733702619, 29.937851954255617, 38.004030708718176]","[0, 0, 0]",0.08571429,1.0,0.3205811733702619,1,-1
80,4,50.0,50.0,2,0,"[100, 0, 0]","[27.361972562325388, 27.821191040055744, 44.81683639761888]","[63.68098628116257, 13.910595520028082, 22.408418198809347]",-1.2,1.0,0.2736197256232539,1,-1
86,4,62.5,125.0,3,0,"[100, 0, 0]","[25.023296905041665, 28.872604566517445, 46.10409852844089]","[62.51164845252083, 14.436302283258723, 23.052049264220447]",-1.62857143,1.0,0.25023296905041664,1,-1
183,3,33,25.0,3,0,"[100, 0, 0]","[21.78020206787272, 28.042822849287933, 50.17697508283935]","[60.89010103393636, 14.021411424643967, 25.088487541419674]",-0.77142857,1.0,0.21780202067872723,1,8
193,1,0,0,1,0,"[0, 0, 0]","[32.085218508153325, 38.90158087631544, 29.013200615531243]","[0, 0, 0]",1.54285714,1.0,0.32085218508153324,1,-1
199,1,0,0,1,0,"[0, 0, 0]","[29.76002534890411, 39.10821198328368, 31.13176266781221]","[0, 0, 0]",2.14285714,1.0,0.2976002534890411,1,-1
205,1,0,0,1,0,"[0, 0, 0]","[31.86001241058006, 39.206401331645196, 28.933586257774728]","[0, 0, 0]",2.65714286,1.0,0.31860012410580063,1,-1
8,1,0,0,1,0,"[0, 0, 0]","[9.1506492301957, 10.98696571587405, 79.86238505393024]","[0, 0, 0]",-2.74285714,1.0,0.09150649230195701,1,-1
9,1,0,0,1,0,"[0, 0, 0]","[16.9892921142039, 27.678701596697575, 55.33200628909852]","[0, 0, 0]",-2.74285714,1.0,0.169892921142039,1,-1
36,1,0,0,1,0,"[0, 0, 0]","[22.115421451502804, 22.10077863019695, 55.78379991830026]","[0, 0, 0]",-2.14285714,1.0,0.22115421451502804,1,-1
41,1,0,0,1,0,"[0, 0, 0]","[23.959783058097198, 35.38583959395984, 40.65437734794297]","[0, 0, 0]",1.45714286,1.0,0.23959783058097198,1,-1
55,4,47.5,95.0,3,0,"[100, 0, 0]","[28.971832074741744, 36.089325165141354, 34.93884276011691]","[64.60895229965787, 18.020690404940602, 17.370357295401526]",0.68571429,1.0,0.28971832074741743,1,-1
62,4,64.625,258.5,5,0,"[100, 0, 0]","[26.138428668710965, 24.026708002960742, 49.83486332832829]","[63.06921433435548, 12.013354001480371, 24.917431664164145]",-0.85714286,1.0,0.26138428668710967,1,-1
71,1,0,0,1,0,"[0, 0, 0]","[38.23430087357564, 28.03440031474865, 33.7312988116757]","[0, 0, 0]",0.0,1.0,0.38234300873575644,1,-1
79,1,0,0,1,0,"[0, 0, 0]","[23.74131325964512, 37.90242743386961, 38.35625930648526]","[0, 0, 0]",-1.71428571,1.0,0.23741313259645122,1,-1
81,3,100,0,1,2,"[0, 0, 100]","[12.952356721422051, 18.531169259804063, 68.51647401877389]","[6.4761783607064345, 9.265584629878271, 84.2582370094153]",-1.28571429,1.0,0.1295235672142205,1,5
